SERIES,SYMBOL,SECURITY,RECORD_DT,BC_STRT_DT,BC_END_DT,EX_DT,ND_STRT_DT,ND_END_DT,PURPOSE
BE,63MOONS,63 moons tech limited, ,03/12/2020,09/12/2020,01/12/2020, , ,AGM/DIV - RS 2 PER SH    
BE,SPMLINFRA,SPML Infra Limited, ,11/12/2020,17/12/2020,09/12/2020, , ,ANNUAL GENERAL MEETING   
BE,SATHAISPAT,Sathavahana Ispat Ltd, ,23/12/2020,29/12/2020,21/12/2020, , ,ANNUAL GENERAL MEETING   
BE,STCINDIA,The State Trading Corpn, ,10/12/2020,17/12/2020,08/12/2020, , ,ANNUAL GENERAL MEETING   
BE,KALYANI,Kalyani Commercials Ltd, ,27/11/2020,03/12/2020,25/11/2020, , ,EGM                      
BE,GARDENSILK,Garden Silk Mills Ltd., ,16/12/2020,21/12/2020,14/12/2020, , ,ANNUAL GENERAL MEETING   
BE,BFUTILITIE,BF Utilities Limited, ,30/12/2020,30/12/2020,28/12/2020, , ,ANNUAL GENERAL MEETING   
BE,BEDMUTHA,Bedmutha Indust Ltd, ,08/12/2020,14/12/2020,04/12/2020, , ,ANNUAL GENERAL MEETING   
BE,PANACEABIO,Panacea Biotec Ltd., ,17/12/2020,24/12/2020,15/12/2020, , ,ANNUAL GENERAL MEETING   
BE,DCMFINSERV,DCM Financial Ser Ltd, ,12/12/2020,18/12/2020,10/12/2020, , ,ANNUAL GENERAL MEETING   
BE,PARASPETRO,Paras Petrofils Limited, ,12/12/2020,17/12/2020,10/12/2020, , ,ANNUAL GENERAL MEETING   
BE,RKDL,Ravi Kumar Distilleries, ,16/12/2020,23/12/2020,14/12/2020, , ,ANNUAL GENERAL MEETING   
BE,BINANIIND,Binani Industries Limited, ,22/12/2020,29/12/2020,18/12/2020, , ,ANNUAL GENERAL MEETING   
BE,SANGHVIFOR,Sanghvi For & Eng Ltd, ,15/12/2020,24/12/2020,11/12/2020, , ,ANNUAL GENERAL MEETING   
BE,DBREALTY,D B Realty Limited, ,16/12/2020,22/12/2020,14/12/2020, , ,ANNUAL GENERAL MEETING   
BE,SHAHALLOYS,Shah Alloys Limited, ,11/12/2020,23/12/2020,09/12/2020, , ,ANNUAL GENERAL MEETING   
BE,HATSUN,Hatsun Agro Product Ltd.,10/12/2020, , ,09/12/2020, , ,BONUS 1:3                
BE,DIGISPICE,DiGiSPICE Technologies LT, ,09/12/2020,15/12/2020,07/12/2020, , ,ANNUAL GENERAL MEETING   
BE,SALSTEEL,S.A.L. Steel Ltd., ,11/12/2020,23/12/2020,09/12/2020, , ,ANNUAL GENERAL MEETING   
BE,RUBYMILLS,Ruby Mills Ltd., ,10/12/2020,17/12/2020,08/12/2020, , ,ANNUAL GENERAL MEETING   
BE,VLSFINANCE,VLS Finance Ltd., ,04/12/2020,10/12/2020,02/12/2020, , ,AGM/DIV-RS 1.50 PER SH   
BE,JUMPNET,Jump Networks Limited, ,03/12/2020,09/12/2020,01/12/2020, , ,ANNUAL GENERAL MEETING   
BE,ORISSAMINE,Orissa Min Dev Co Ltd, ,10/12/2020,16/12/2020,08/12/2020, , ,ANNUAL GENERAL MEETING   
BE,MAHASTEEL,Mahamaya Steel Inds Ltd, ,17/12/2020,23/12/2020,15/12/2020, , ,ANNUAL GENERAL MEETING   
BE,VISASTEEL,Visa Steel Limited, ,15/12/2020,22/12/2020,11/12/2020, , ,ANNUAL GENERAL MEETING   
BE,GOENKA,Goenka Diamond&Jewels Ltd, ,14/12/2020,17/12/2020,10/12/2020, , ,ANNUAL GENERAL MEETING   
BE,CUPID,Cupid Limited, ,21/12/2020,22/12/2020,17/12/2020, , ,ANNUAL GENERAL MEETING   
BE,JBFIND,JBF INDUSTRIES LTD, ,21/12/2020,28/12/2020,17/12/2020, , ,ANNUAL GENERAL MEETING   
BE,BLUECHIP,Blue Chip India Ltd, ,11/12/2020,17/12/2020,09/12/2020, , ,ANNUAL GENERAL MEETING   
BE,SAKUMA,Sakuma Exports Limited, ,03/12/2020,10/12/2020,01/12/2020, , ,AGM/DIV - RE 0.1 PER SH  
BE,SETCO,Setco Automotive Ltd, ,22/12/2020,28/12/2020,18/12/2020, , ,ANNUAL GENERAL MEETING   
BE,SMARTLINK,Smartlink Holdings Ltd, ,27/11/2020,04/12/2020,25/11/2020, , ,ANNUAL GENERAL MEETING   
BE,NFL,National Fertilizers Limi, ,11/12/2020,17/12/2020,09/12/2020, , ,ANNUAL GENERAL MEETING   
BE,PREMIER,Premier Limited, ,23/12/2020,30/12/2020,21/12/2020, , ,ANNUAL GENERAL MEETING   
BE,SKIL,SKIL Infrastr. Ltd., ,24/12/2020,30/12/2020,22/12/2020, , ,ANNUAL GENERAL MEETING   
BE,RELIGARE,Religare Enterprises Limi, ,11/12/2020,17/12/2020,09/12/2020, , ,ANNUAL GENERAL MEETING   
BE,RVNL,Rail Vikas Nigam Limited,09/12/2020, , ,08/12/2020, , ,DIV - RS 1.14 PER SH     
BE,RESPONIND,Responsive Industries Ltd, ,18/12/2020,24/12/2020,16/12/2020, , ,AGM/DIV - RS 0.07 PER SH 
BE,SIMBHALS,Simbhaoli Sugars Ltd., ,15/12/2020,21/12/2020,11/12/2020, , ,ANNUAL GENERAL MEETING   
BE,PVP,PVP Ventures Limited, ,07/12/2020,11/12/2020,03/12/2020, , ,ANNUAL GENERAL MEETING   
BE,ATNINTER,ATN International Limited, ,09/12/2020,15/12/2020,07/12/2020, , ,ANNUAL GENERAL MEETING   
BE,OAL,Oriental Aromatics Limite,04/12/2020, , ,03/12/2020, , ,INTDIV - RS 2.50 PER SH  
BE,WIPRO,WIPRO LTD,11/12/2020, , ,10/12/2020, , ,BUYBACK                  
BE,WINSOME,Winsome Yarns Limited, ,05/12/2020,11/12/2020,03/12/2020, , ,ANNUAL GENERAL MEETING   
BE,JAYNECOIND,Jayaswal Neco Industr Ltd, ,18/12/2020,24/12/2020,16/12/2020, , ,ANNUAL GENERAL MEETING   
BE,MADHUCON,Madhucon Projects Limited, ,27/11/2020,05/12/2020,25/11/2020, , ,ANNUAL GENERAL MEETING   
BE,BVCL,Barak Valley Cements Limi, ,24/12/2020,30/12/2020,22/12/2020, , ,ANNUAL GENERAL MEETING   
BE,REGENCERAM,Regency Ceramics Ltd., ,24/12/2020,30/12/2020,22/12/2020, , ,ANNUAL GENERAL MEETING   
BE,NAGAFERT,Nagarjun Fert and Che Ltd, ,23/12/2020,30/12/2020,21/12/2020, , ,ANNUAL GENERAL MEETING   
BE,DREDGECORP,DREDGING CORP OF INDIA, ,16/12/2020,22/12/2020,14/12/2020, , ,ANNUAL GENERAL MEETING   
BE,PNC,Pritish Nandy Comm. Ltd., ,11/12/2020,17/12/2020,09/12/2020, , ,ANNUAL GENERAL MEETING   
BE,BLUEBLENDS,Blue Blends (I) Ltd, ,26/12/2020,29/12/2020,23/12/2020, , ,ANNUAL GENERAL MEETING   
BE,JINDCOT,Jindal Cotex Ltd, ,25/12/2020,30/12/2020,23/12/2020, , ,ANNUAL GENERAL MEETING   
BE,KARMAENG,Karma Energy Limited,15/12/2020, , ,14/12/2020, , ,ANNUAL GENERAL MEETING   
BE,PROSEED,Proseed India Limited, ,13/12/2020,19/12/2020,10/12/2020, , ,ANNUAL GENERAL MEETING   
BE,RUSHIL,Rushil Decor Limited, ,12/12/2020,18/12/2020,10/12/2020, , ,AGM/DIV - RS 0.50 PER SH 
BE,ADVANIHOTR,Advani Hot.& Res.(I) Ltd, ,12/12/2020,22/12/2020,10/12/2020, , ,ANNUAL GENERAL MEETING   
BE,EXCEL,Excel Realty N Infra Ltd, ,11/12/2020,17/12/2020,09/12/2020, , ,ANNUAL GENERAL MEETING   
BE,KWALITY,Kwality Limited, ,18/12/2020,24/12/2020,16/12/2020, , ,ANNUAL GENERAL MEETING   
BE,HCC,Hindustan Construc Co., ,18/12/2020,24/12/2020,16/12/2020, , ,ANNUAL GENERAL MEETING   
BE,MTEDUCARE,MT Educare Ltd, ,18/12/2020,24/12/2020,16/12/2020, , ,ANNUAL GENERAL MEETING   
BE,ITI,ITI Limited (Depository), ,28/11/2020,04/12/2020,26/11/2020, , ,ANNUAL GENERAL MEETING   
BE,ORIENTABRA,Orient Abrasives Limited, ,27/11/2020,03/12/2020,25/11/2020, , ,ANNUAL GENERAL MEETING   
BE,MASFIN,MAS Financial Serv Ltd, ,03/12/2020,09/12/2020,01/12/2020, , ,ANNUAL GENERAL MEETING   
BE,MBECL,Mcnally Bharat Engineerin, ,16/12/2020,22/12/2020,14/12/2020, , ,ANNUAL GENERAL MEETING   
BE,TOTAL,Total Transport Sys Ltd, ,02/12/2020,08/12/2020,27/11/2020, , ,ANNUAL GENERAL MEETING   
BE,GIPCL,GUJARAT INDUSTRIES POWER, ,05/12/2020,15/12/2020,03/12/2020, , ,DIV - RS 2.90 PER SH     
BE,JAICORPLTD,Jai Corp Limited, ,22/12/2020,28/12/2020,18/12/2020, , ,DIV - RS 0.50 PER SH     
BE,GICHSGFIN,Gic Housing Finance Ltd, ,05/12/2020,18/12/2020,03/12/2020, , ,AGM/DIV - RS 2 PER SH    
BE,JBMA,JBM Auto Limited,04/12/2020, , ,03/12/2020, , ,AGM/DIV - RS 1.75 PER SH 
BE,WEIZMANIND,Weizmann Ltd, ,16/12/2020,22/12/2020,14/12/2020, , ,ANNUAL GENERAL MEETING   
BE,EROSMEDIA,Eros Intl Media Ltd, ,08/12/2020,15/12/2020,04/12/2020, , ,ANNUAL GENERAL MEETING   
BE,JIKIND,JIK Industries Limited, ,11/12/2020,18/12/2020,09/12/2020, , ,ANNUAL GENERAL MEETING   
BZ,SATHAISPAT,Sathavahana Ispat Ltd, ,23/12/2020,29/12/2020,21/12/2020, , ,ANNUAL GENERAL MEETING   
BZ,GARDENSILK,Garden Silk Mills Ltd., ,16/12/2020,21/12/2020,14/12/2020, , ,ANNUAL GENERAL MEETING   
BZ,PARASPETRO,Paras Petrofils Limited, ,12/12/2020,17/12/2020,10/12/2020, , ,ANNUAL GENERAL MEETING   
BZ,BINANIIND,Binani Industries Limited, ,22/12/2020,29/12/2020,18/12/2020, , ,ANNUAL GENERAL MEETING   
BZ,JINDCOT,Jindal Cotex Ltd, ,25/12/2020,30/12/2020,23/12/2020, , ,ANNUAL GENERAL MEETING   
BZ,PVP,PVP Ventures Limited, ,07/12/2020,11/12/2020,03/12/2020, , ,ANNUAL GENERAL MEETING   
BZ,WINSOME,Winsome Yarns Limited, ,05/12/2020,11/12/2020,03/12/2020, , ,ANNUAL GENERAL MEETING   
BZ,NAGAFERT,Nagarjun Fert and Che Ltd, ,23/12/2020,30/12/2020,21/12/2020, , ,ANNUAL GENERAL MEETING   
BZ,BLUEBLENDS,Blue Blends (I) Ltd, ,26/12/2020,29/12/2020,23/12/2020, , ,ANNUAL GENERAL MEETING   
BZ,GOENKA,Goenka Diamond&Jewels Ltd, ,14/12/2020,17/12/2020,10/12/2020, , ,ANNUAL GENERAL MEETING   
EQ,BFUTILITIE,BF Utilities Limited, ,30/12/2020,30/12/2020,28/12/2020, , ,ANNUAL GENERAL MEETING   
EQ,BEDMUTHA,Bedmutha Indust Ltd, ,08/12/2020,14/12/2020,04/12/2020, , ,ANNUAL GENERAL MEETING   
EQ,PANACEABIO,Panacea Biotec Ltd., ,17/12/2020,24/12/2020,15/12/2020, , ,ANNUAL GENERAL MEETING   
EQ,DCMFINSERV,DCM Financial Ser Ltd, ,12/12/2020,18/12/2020,10/12/2020, , ,ANNUAL GENERAL MEETING   
EQ,PARASPETRO,Paras Petrofils Limited, ,12/12/2020,17/12/2020,10/12/2020, , ,ANNUAL GENERAL MEETING   
EQ,RKDL,Ravi Kumar Distilleries, ,16/12/2020,23/12/2020,14/12/2020, , ,ANNUAL GENERAL MEETING   
EQ,BINANIIND,Binani Industries Limited, ,22/12/2020,29/12/2020,18/12/2020, , ,ANNUAL GENERAL MEETING   
EQ,SANGHVIFOR,Sanghvi For & Eng Ltd, ,15/12/2020,24/12/2020,11/12/2020, , ,ANNUAL GENERAL MEETING   
EQ,DBREALTY,D B Realty Limited, ,16/12/2020,22/12/2020,14/12/2020, , ,ANNUAL GENERAL MEETING   
EQ,SHAHALLOYS,Shah Alloys Limited, ,11/12/2020,23/12/2020,09/12/2020, , ,ANNUAL GENERAL MEETING   
EQ,HATSUN,Hatsun Agro Product Ltd.,10/12/2020, , ,09/12/2020, , ,BONUS 1:3                
EQ,DIGISPICE,DiGiSPICE Technologies LT, ,09/12/2020,15/12/2020,07/12/2020, , ,ANNUAL GENERAL MEETING   
EQ,SALSTEEL,S.A.L. Steel Limited, ,11/12/2020,23/12/2020,09/12/2020, , ,ANNUAL GENERAL MEETING   
EQ,RUBYMILLS,The Ruby Mills Ltd, ,10/12/2020,17/12/2020,08/12/2020, , ,ANNUAL GENERAL MEETING   
EQ,VLSFINANCE,VLS Finance Ltd., ,04/12/2020,10/12/2020,02/12/2020, , ,AGM/DIV-RS 1.50 PER SH   
EQ,JUMPNET,Jump Networks Limited, ,03/12/2020,09/12/2020,01/12/2020, , ,ANNUAL GENERAL MEETING   
EQ,ORISSAMINE,Orissa Min Dev Co Ltd, ,10/12/2020,16/12/2020,08/12/2020, , ,ANNUAL GENERAL MEETING   
EQ,MAHASTEEL,Mahamaya Steel Inds Ltd, ,17/12/2020,23/12/2020,15/12/2020, , ,ANNUAL GENERAL MEETING   
EQ,VISASTEEL,Visa Steel Limited, ,15/12/2020,22/12/2020,11/12/2020, , ,ANNUAL GENERAL MEETING   
EQ,GOENKA,Goenka Diamond&Jewels Ltd, ,14/12/2020,17/12/2020,10/12/2020, , ,ANNUAL GENERAL MEETING   
EQ,CUPID,Cupid Limited, ,21/12/2020,22/12/2020,17/12/2020, , ,ANNUAL GENERAL MEETING   
EQ,JBFIND,JBFIndustries Ltd, ,21/12/2020,28/12/2020,17/12/2020, , ,ANNUAL GENERAL MEETING   
EQ,NFL,National Fertilizers Limi, ,11/12/2020,17/12/2020,09/12/2020, , ,ANNUAL GENERAL MEETING   
EQ,BLUECHIP,Blue Chip India Ltd, ,11/12/2020,17/12/2020,09/12/2020, , ,ANNUAL GENERAL MEETING   
EQ,SAKUMA,Sakuma Exports Limited, ,03/12/2020,10/12/2020,01/12/2020, , ,AGM/DIV - RE 0.1 PER SH  
EQ,SETCO,Setco Automotive Ltd, ,22/12/2020,28/12/2020,18/12/2020, , ,ANNUAL GENERAL MEETING   
EQ,SMARTLINK,Smartlink Holdings Ltd, ,27/11/2020,04/12/2020,25/11/2020, , ,ANNUAL GENERAL MEETING   
EQ,RELIGARE,Religare Enterprises Limi, ,11/12/2020,17/12/2020,09/12/2020, , ,ANNUAL GENERAL MEETING   
EQ,PREMIER,Premier Limited, ,23/12/2020,30/12/2020,21/12/2020, , ,ANNUAL GENERAL MEETING   
EQ,SKIL,SKIL Infrastr. Ltd., ,24/12/2020,30/12/2020,22/12/2020, , ,ANNUAL GENERAL MEETING   
EQ,SIMBHALS,Simbhaoli Sugars Ltd., ,15/12/2020,21/12/2020,11/12/2020, , ,ANNUAL GENERAL MEETING   
EQ,RVNL,Rail Vikas Nigam Limited,09/12/2020, , ,08/12/2020, , ,DIV - RS 1.14 PER SH     
EQ,RESPONIND,Responsive Industries Ltd, ,18/12/2020,24/12/2020,16/12/2020, , ,AGM/DIV - RS 0.07 PER SH 
EQ,PVP,PVP Ventures Limited, ,07/12/2020,11/12/2020,03/12/2020, , ,ANNUAL GENERAL MEETING   
EQ,ATNINTER,ATN International Limited, ,09/12/2020,15/12/2020,07/12/2020, , ,ANNUAL GENERAL MEETING   
EQ,OAL,Oriental Aromatics Limite,04/12/2020, , ,03/12/2020, , ,INTDIV - RS 2.50 PER SH  
EQ,WIPRO,Wipro Ltd,11/12/2020, , ,10/12/2020, , ,BUYBACK                  
EQ,WINSOME,Winsome Yarns Limited, ,05/12/2020,11/12/2020,03/12/2020, , ,ANNUAL GENERAL MEETING   
EQ,JAYNECOIND,Jayaswal Neco Industr Ltd, ,18/12/2020,24/12/2020,16/12/2020, , ,ANNUAL GENERAL MEETING   
EQ,MADHUCON,Madhucon Projects Limited, ,27/11/2020,05/12/2020,25/11/2020, , ,ANNUAL GENERAL MEETING   
EQ,BVCL,Barak Valley Cements Limi, ,24/12/2020,30/12/2020,22/12/2020, , ,ANNUAL GENERAL MEETING   
EQ,REGENCERAM,Regency Ceramics Ltd., ,24/12/2020,30/12/2020,22/12/2020, , ,ANNUAL GENERAL MEETING   
EQ,NAGAFERT,Nagarjun Fert and Che Ltd, ,23/12/2020,30/12/2020,21/12/2020, , ,ANNUAL GENERAL MEETING   
EQ,DREDGECORP,Dredging Corporation of I, ,16/12/2020,22/12/2020,14/12/2020, , ,ANNUAL GENERAL MEETING   
EQ,PNC,Pritish Nandy Comm. Ltd., ,11/12/2020,17/12/2020,09/12/2020, , ,ANNUAL GENERAL MEETING   
EQ,BLUEBLENDS,Blue Blends (I) Ltd, ,26/12/2020,29/12/2020,23/12/2020, , ,ANNUAL GENERAL MEETING   
EQ,JINDCOT,Jindal Cotex Ltd, ,25/12/2020,30/12/2020,23/12/2020, , ,ANNUAL GENERAL MEETING   
